Agent, Computer Name, Duration of Call, LOB, Message,
ddecoux,ausrcwa00134,80 min,dotcom,add user error
knesbitt,auswcapb4,20 min,cafe,international commodity shipment
knesbitt,auswcapb4,20 min,cafe,international commodity shipment
mfernandez,auswrca0303,15 min,cafe,tracking a package
oislam,ausrca0132,15 min,cafe,Commercial Invoice Reprint
dbates,ausrca0149,15 min,cafe,TD enablement
oislam,ausrca0132,10 min,cafe,Rate quote assistance
oislam,ausrca0132,10 min,cafe,Enable Scale
rplasencia,ausrcwa130,10 min,cafe,Fsm software request
mfernandez,auswrca0303,9 min,cafe,product key
oislam,ausrca0132,8 min,cafe,Product key
wbiederman,ausrca0071,TST min,cafe,TESTING 123
